"concept_name"
"lidocaine"
"sodium chloride"
"magnesium"
"sodium"
"caffeine"
"calcium"
"salicylic acid"
"vitamin E"
"thiamine"
"phenylbutazone"
"vitamin B12"
"pyridoxine"
"atropine"
"hydrocortisone"
"mannitol"
"dexpanthenol"
"niacinamide"
"camphor"
"niacin"
"ascorbic acid"
"chlorhexidine"
"Aesculus hippocastanum bark extract"
"meprobamate"
"phenobarbital"
"papaverine"
"sodium phosphate"
"procaine"
"esculin"
"diphenhydramine"
"folic acid"
"aluminum hydroxide"
"vitamin A"
"vitamin B6"
"ephedrine"
"theophylline"
"dexamethasone"
"phenol"
"propyphenazone"
"hesperidin"
"morphine"
"chlorpheniramine"
"salicylamide"
"guaifenesin"
"dipyrone"
"carisoprodol"
"ibuprofen"
"methocarbamol"
"orphenadrine"
"piroxicam"
"clemastine"
"promethazine"
"ethenzamide"
"thymol"
"dyphylline"
"mofebutazone"
"prednisolone"
"astemizole"
"cyproheptadine"
"terfenadine"
"indomethacin"
"tenoxicam"
"parachlorophenol"
"formaldehyde"
"thymol iodide"
"Octotiamine"
"hydroxocobalamin"
"proxyphylline"
"aminopyrine"
"acetic acid"
"Khellincarboxylic Acid"
"pentylenetetrazole"
"estradiol"
"metacresol"
"guaiacol"
"hydromorphone"
"dibucaine"
"isopropyl alcohol"
"tramazoline"
"bortezomib"
"carfilzomib"
"prednisone"
"dihydroergocristine"
"strychnine"
"venetoclax"
"thalidomide"
"cyclophosphamide"
"hyaluronidase"
"daratumumab"
"lenalidomide"
"melphalan"
"pomalidomide"
"ixazomib"
"selinexor"
