"regName","shortString","count","avg_days","Group","key"
"Emp_75","0.carfilzomib;14.cyclophosphamide;28.dexamethasone;42.thalidomide;56.melphalan;",8,2,"CTKDM","carfilzomib+cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_76","0.carfilzomib;19.cyclophosphamide;37.dexamethasone;56.pomalidomide;",1,4,NA,"carfilzomib+cyclophosphamide+dexamethasone+pomalidomide"
"Emp_77","0.carfilzomib;19.dexamethasone;37.cyclophosphamide;56.thalidomide;",19,2,"CTKD","carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_77","0.carfilzomib;19.cyclophosphamide;37.dexamethasone;56.thalidomide;",19,2,"CTKD","carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_77","0.cyclophosphamide;19.dexamethasone;37.thalidomide;56.carfilzomib;",19,2,"CTKD","carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_77","0.thalidomide;19.carfilzomib;37.cyclophosphamide;56.dexamethasone;",19,2,"CTKD","carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_77","0.carfilzomib;19.dexamethasone;37.thalidomide;56.cyclophosphamide;",19,2,"CTKD","carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_78","0.carfilzomib;28.dexamethasone;56.daratumumab;",30,4,"DaraKD","carfilzomib+daratumumab+dexamethasone"
"Emp_78","0.daratumumab;28.dexamethasone;56.carfilzomib;",30,4,"DaraKD","carfilzomib+daratumumab+dexamethasone"
"Emp_78","0.carfilzomib;28.daratumumab;56.dexamethasone;",30,4,"DaraKD","carfilzomib+daratumumab+dexamethasone"
"Emp_79","0.carfilzomib;19.daratumumab;37.dexamethasone;56.lenalidomide;",7,3,NA,"carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.carfilzomib;19.dexamethasone;37.lenalidomide;56.daratumumab;",7,3,NA,"carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.daratumumab;",7,3,NA,"carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.carfilzomib;19.dexamethasone;37.daratumumab;56.lenalidomide;",7,3,NA,"carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_8","0.bortezomib;14.cyclophosphamide;28.dexamethasone;42.carfilzomib;56.melphalan;",1,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+melphalan"
"Emp_80","0.dexamethasone;56.carfilzomib;",373,4,"KD","carfilzomib+dexamethasone"
"Emp_80","0.carfilzomib;56.dexamethasone;",373,4,"KD","carfilzomib+dexamethasone"
"Emp_81","0.carfilzomib;28.dexamethasone;56.ixazomib;",5,12,NA,"carfilzomib+dexamethasone+ixazomib"
"Emp_82","0.carfilzomib;19.dexamethasone;37.ixazomib;56.lenalidomide;",5,4,NA,"carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_82","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.ixazomib;",5,4,NA,"carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_82","0.ixazomib;19.lenalidomide;37.carfilzomib;56.dexamethasone;",5,4,NA,"carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_83","0.carfilzomib;14.dexamethasone;28.thalidomide;42.lenalidomide;56.ixazomib;",1,12,NA,"carfilzomib+dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_84","0.carfilzomib;19.dexamethasone;37.ixazomib;56.thalidomide;",2,5,NA,"carfilzomib+dexamethasone+ixazomib+thalidomide"
"Emp_84","0.carfilzomib;19.dexamethasone;37.thalidomide;56.ixazomib;",2,5,NA,"carfilzomib+dexamethasone+ixazomib+thalidomide"
"Emp_85","0.dexamethasone;28.lenalidomide;56.carfilzomib;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_85","0.carfilzomib;28.dexamethasone;56.lenalidomide;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_85","0.carfilzomib;28.lenalidomide;56.dexamethasone;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_85","0.lenalidomide;28.carfilzomib;56.dexamethasone;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_85","0.lenalidomide;28.dexamethasone;56.carfilzomib;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_85","0.dexamethasone;28.carfilzomib;56.lenalidomide;",138,3,"RKD","carfilzomib+dexamethasone+lenalidomide"
"Emp_86","0.carfilzomib;19.dexamethasone;37.lenalidomide;56.melphalan;",5,3,NA,"carfilzomib+dexamethasone+lenalidomide+melphalan"
"Emp_86","0.lenalidomide;19.carfilzomib;37.melphalan;56.dexamethasone;",5,3,NA,"carfilzomib+dexamethasone+lenalidomide+melphalan"
"Emp_86","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.melphalan;",5,3,NA,"carfilzomib+dexamethasone+lenalidomide+melphalan"
"Emp_86","0.dexamethasone;19.lenalidomide;37.melphalan;56.carfilzomib;",5,3,NA,"carfilzomib+dexamethasone+lenalidomide+melphalan"
"Emp_87","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.pomalidomide;",2,4,"PomKRD","carfilzomib+dexamethasone+lenalidomide+pomalidomide"
"Emp_87","0.pomalidomide;19.carfilzomib;37.dexamethasone;56.lenalidomide;",2,4,"PomKRD","carfilzomib+dexamethasone+lenalidomide+pomalidomide"
"Emp_88","0.carfilzomib;28.dexamethasone;56.melphalan;",6,5,"KMD","carfilzomib+dexamethasone+melphalan"
"Emp_89","0.carfilzomib;19.dexamethasone;37.thalidomide;56.melphalan;",1,4,"KTMD","carfilzomib+dexamethasone+melphalan+thalidomide"
"Emp_9","0.bortezomib;11.dexamethasone;22.carfilzomib;34.cyclophosphamide;45.melphalan;56.thalidomide;",3,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_9","0.carfilzomib;11.dexamethasone;22.bortezomib;34.cyclophosphamide;45.thalidomide;56.melphalan;",3,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_9","0.bortezomib;11.dexamethasone;22.melphalan;34.cyclophosphamide;45.carfilzomib;56.thalidomide;",3,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+melphalan+thalidomide"
"Emp_90","0.carfilzomib;28.dexamethasone;56.pomalidomide;",3,6,"PomKD","carfilzomib+dexamethasone+pomalidomide"
"Emp_90","0.pomalidomide;28.carfilzomib;56.dexamethasone;",3,6,"PomKD","carfilzomib+dexamethasone+pomalidomide"
"Emp_91","0.dexamethasone;28.thalidomide;56.carfilzomib;",15,5,"TKD","carfilzomib+dexamethasone+thalidomide"
"Emp_91","0.thalidomide;28.carfilzomib;56.dexamethasone;",15,5,"TKD","carfilzomib+dexamethasone+thalidomide"
"Emp_91","0.carfilzomib;28.dexamethasone;56.thalidomide;",15,5,"TKD","carfilzomib+dexamethasone+thalidomide"
"Emp_91","0.thalidomide;28.dexamethasone;56.carfilzomib;",15,5,"TKD","carfilzomib+dexamethasone+thalidomide"
"Emp_91","0.dexamethasone;28.carfilzomib;56.thalidomide;",15,5,"TKD","carfilzomib+dexamethasone+thalidomide"
"Emp_92","0.cyclophosphamide;",40,20,"C","cyclophosphamide"
"Emp_93","0.cyclophosphamide;28.dexamethasone;56.daratumumab;",1,3,"DaraCD","cyclophosphamide+daratumumab+dexamethasone"
"Emp_94","0.cyclophosphamide;56.dexamethasone;",182,10,"CD","cyclophosphamide+dexamethasone"
"Emp_94","0.dexamethasone;56.cyclophosphamide;",182,10,"CD","cyclophosphamide+dexamethasone"
"Emp_95","0.dexamethasone;14.cyclophosphamide;28.thalidomide;42.ixazomib;56.lenalidomide;",1,3,NA,"cyclophosphamide+dexamethasone+ixazomib+lenalidomide+thalidomide"
